,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
1205,Kepler-1432 b,0.239,0.027000000000000003,-0.028999999999999998,Berger et al. 2018,,,,Morton et al. 2016,23.9109011,0.0002703,-0.0002703,Morton et al. 2016,,,,Morton et al. 2016,1.54,0.16,-0.14,Berger et al. 2018,1.09,0.089,-0.07,Morton et al. 2016,[Fe/H],0.02,,6031.0,Kepler,Space,,0.11715481171548117,,1.1304467316792172e-05,,0.09740259740259742,0.07293577981651375,,
1206,Kepler-1433 b,0.139,0.04,-0.016,Morton et al. 2016,,,,Morton et al. 2016,4.13592271,2.888e-05,-2.888e-05,Morton et al. 2016,,,,Morton et al. 2016,1.19,0.33,-0.13,Morton et al. 2016,1.14,0.109,-0.071,Morton et al. 2016,[Fe/H],0.07,,6097.0,Kepler,Space,,0.2014388489208633,,6.982722363300643e-06,,0.19327731092436976,0.07894736842105264,,
1207,Kepler-1434 b,0.128,0.009000000000000001,-0.008,Berger et al. 2018,,,,Morton et al. 2016,8.05286361,7.071e-05,-7.071e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,2.32,0.11,-0.1,Berger et al. 2018,1.47,0.127,-0.118,Morton et al. 2016,[Fe/H],0.19,,6291.0,Kepler,Space,,0.06640625,,8.780727381523354e-06,,0.04525862068965518,0.08333333333333333,,
1208,Kepler-1435 b,0.08900000000000001,0.004,-0.008,Berger et al. 2018,,,,Morton et al. 2016,4.45343281,3.591e-05,-3.591e-05,Morton et al. 2016,,,,Morton et al. 2016,1.4,0.06,-0.06,Berger et al. 2018,1.21,0.063,-0.058,Morton et al. 2016,[Fe/H],-0.03,,6356.0,Kepler,Space,,0.06741573033707865,,8.06344263673757e-06,,0.04285714285714286,0.05,,
1209,Kepler-1436 b,0.11699999999999999,0.031,-0.016,Morton et al. 2016,,,,Morton et al. 2016,9.705716,0.0001638,-0.0001638,Morton et al. 2016,,,,Morton et al. 2016,2.49,0.18,-0.16,Berger et al. 2018,1.06,0.08,-0.081,Morton et al. 2016,[Fe/H],-0.01,,5972.0,Kepler,Space,,0.20085470085470086,,1.687665289196593e-05,,0.0682730923694779,0.07594339622641509,,
1210,Kepler-1437 b,0.122,0.015,-0.012,Morton et al. 2016,,,,Morton et al. 2016,10.9295461,0.0001172,-0.0001172,Morton et al. 2016,,,,Morton et al. 2016,0.9,0.11,-0.06,Morton et al. 2016,0.93,0.041,-0.046,Morton et al. 2016,[Fe/H],-0.02,,5557.0,Kepler,Space,,0.11065573770491803,,1.0723226648909053e-05,,0.09444444444444443,0.04677419354838709,,
1211,Kepler-1438 b,0.084,0.017,-0.009000000000000001,Morton et al. 2016,,,,Morton et al. 2016,2.31941555,1.057e-05,-1.057e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.96,0.19,-0.07,Morton et al. 2016,0.97,0.05,-0.046,Morton et al. 2016,[Fe/H],0.2,,5530.0,Kepler,Space,,0.15476190476190477,,4.55718251953601e-06,,0.13541666666666669,0.04948453608247423,,
1212,Kepler-1439 b,0.13,0.012,-0.019,Morton et al. 2016,,,,Morton et al. 2016,8.07397517,7.45e-06,-7.45e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.44,0.01,-0.01,Berger et al. 2018,0.46,0.041,-0.056,Morton et al. 2016,[Fe/H],-0.03,,3578.0,Kepler,Space,,0.11923076923076922,,9.227177249295404e-07,,0.022727272727272728,0.10543478260869565,,
1213,Kepler-144 b,0.11699999999999999,0.022000000000000002,-0.006999999999999999,Berger et al. 2018,,,,Rowe et al. 2014,5.88527653,2.35e-06,-2.35e-06,Holczer et al. 2016,0.066,,,Rowe et al. 2014,1.18,0.05,-0.05,Berger et al. 2018,1.126,0.108,-0.049,Everett et al. 2015,,,,6075.0,Kepler,Space,,0.12393162393162395,,3.9930154310013366e-07,,0.04237288135593221,0.0697158081705151,,
1214,Kepler-144 c,0.11699999999999999,0.005,-0.009000000000000001,Berger et al. 2018,,,,Rowe et al. 2014,10.10455485,3.45e-06,-3.45e-06,Holczer et al. 2016,0.094,,,Rowe et al. 2014,1.18,0.05,-0.05,Berger et al. 2018,1.126,0.108,-0.049,Everett et al. 2015,,,,6075.0,Kepler,Space,,0.05982905982905984,,3.414301818550671e-07,,0.04237288135593221,0.0697158081705151,,
1215,Kepler-1440 b,0.17800000000000002,0.011000000000000001,-0.016,Berger et al. 2018,,,,Morton et al. 2016,39.85969074,2.366e-05,-2.366e-05,Holczer et al. 2016,,,,Morton et al. 2016,1.59,0.08,-0.07,Berger et al. 2018,0.98,0.042,-0.048,Morton et al. 2016,[Fe/H],0.04,,5698.0,Kepler,Space,,0.07584269662921349,,5.935821267237459e-07,,0.04716981132075472,0.04591836734693878,,
